symbol,open,high,low,close,volume
OANDA:XAUUSD,2934.84,2935.04,2933.785,2933.86,253.0
OANDA:XAUUSD,2933.855,2933.895,2933.52,2933.865,149.0
OANDA:XAUUSD,2933.87,2933.89,2933.54,2933.65,63.0
OANDA:XAUUSD,2933.615,2933.86,2933.22,2933.805,120.0
OANDA:XAUUSD,2933.825,2934.385,2933.805,2933.96,137.0
OANDA:XAUUSD,2933.93,2934.31,2933.93,2934.175,76.0
OANDA:XAUUSD,2934.08,2934.34,2933.53,2933.915,190.0
OANDA:XAUUSD,2933.965,2934.41,2933.835,2934.125,76.0
OANDA:XAUUSD,2934.13,2934.39,2933.94,2933.995,125.0
OANDA:XAUUSD,2934.005,2934.01,2933.035,2933.355,140.0
OANDA:XAUUSD,2933.36,2934.35,2933.26,2933.275,309.0
OANDA:XAUUSD,2933.265,2933.365,2932.5,2932.765,309.0
OANDA:XAUUSD,2932.77,2933.06,2932.55,2932.775,292.0
OANDA:XAUUSD,2932.78,2932.81,2932.185,2932.265,250.0
OANDA:XAUUSD,2932.27,2933.54,2932.075,2933.465,221.0
OANDA:XAUUSD,2933.43,2933.925,2932.93,2932.97,328.0
OANDA:XAUUSD,2932.91,2933.11,2932.45,2932.54,253.0
OANDA:XAUUSD,2932.54,2932.72,2932.295,2932.315,278.0
OANDA:XAUUSD,2932.305,2932.325,2931.155,2931.25,302.0
OANDA:XAUUSD,2931.32,2931.66,2930.275,2930.74,350.0
OANDA:XAUUSD,2930.745,2930.765,2928.555,2929.34,723.0
OANDA:XAUUSD,2929.32,2931.675,2928.21,2931.675,2118.0
OANDA:XAUUSD,2931.645,2932.345,2931.085,2932.1,1248.0
OANDA:XAUUSD,2932.095,2933.05,2931.93,2932.63,637.0
OANDA:XAUUSD,2932.685,2932.685,2930.45,2931.51,904.0
OANDA:XAUUSD,2931.535,2931.935,2931.085,2931.715,505.0
OANDA:XAUUSD,2931.7,2932.1,2931.14,2931.62,521.0
OANDA:XAUUSD,2931.635,2933.235,2931.39,2932.765,840.0
OANDA:XAUUSD,2932.755,2934.97,2932.62,2934.665,751.0
OANDA:XAUUSD,2934.73,2936.315,2934.73,2936.025,1316.0
OANDA:XAUUSD,2936.03,2937.97,2935.62,2937.75,1123.0
OANDA:XAUUSD,2937.745,2938.83,2937.74,2938.605,1118.0
OANDA:XAUUSD,2938.595,2939.74,2937.835,2938.515,1354.0
OANDA:XAUUSD,2938.53,2939.69,2937.535,2938.56,1696.0
OANDA:XAUUSD,2938.555,2938.555,2936.375,2936.4,1455.0
OANDA:XAUUSD,2936.365,2938.12,2936.2,2936.905,1094.0
OANDA:XAUUSD,2936.9,2938.785,2936.805,2938.15,615.0
OANDA:XAUUSD,2938.16,2938.22,2937.185,2937.195,606.0
OANDA:XAUUSD,2937.175,2937.215,2936.025,2936.08,888.0
OANDA:XAUUSD,2936.145,2936.305,2933.97,2935.435,1094.0
OANDA:XAUUSD,2935.38,2935.415,2933.265,2933.915,1097.0
OANDA:XAUUSD,2933.925,2933.925,2931.87,2932.21,796.0
OANDA:XAUUSD,2932.175,2932.265,2925.655,2926.615,1584.0
OANDA:XAUUSD,2926.645,2928.72,2924.21,2926.985,2296.0
OANDA:XAUUSD,2926.96,2929.92,2926.455,2929.31,1270.0
OANDA:XAUUSD,2929.315,2929.385,2927.02,2928.445,1515.0
OANDA:XAUUSD,2928.46,2928.505,2925.015,2927.795,2160.0
OANDA:XAUUSD,2927.8,2929.505,2927.44,2928.995,1017.0
